OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,City,Area,RestaurantID,RestaurantName,Cuisine,RestaurantRating,ItemName,CategoryName,Quantity,UnitPrice,TotalAmount,OrderStatus,PaymentMode,PaymentStatus,PartnerName,VehicleType,DistanceKM,DeliveryTimeMin,FoodRating,DeliveryRating
ORD10021,2024-04-13 02:19:00,CUST2015,Myra Sharma,Male,60.0,Hyderabad,Kukatpally,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,1.0,70.0,70.0,Delivered,Debit Card,Paid,Vikram Das,Scooter,,67.0,4.0,5.0
ORD10022,2024-05-21 10:47:00,CUST2010,Anika Gupta,Female,60.0,Pune,Baner,R006,South Spice,South Indian,4.5,Uttapam,Breakfast,3.0,100.0,300.0,Delivered,Wallet,Paid,Aditya Menon,Bicycle,4.4,26.0,5.0,4.0
ORD10023,2024-08-27 00:00:00,CUST2016,Kiran Das,,60.0,Kolkata,Salt Lake,R012,Noodle Story,Chinese,3.7,Chicken Manchurian,Main Course,5.0,210.0,1050.0,Delivered,Cash on Delivery,Paid,Aditya Menon,Scooter,8.7,45.0,5.0,4.0
ORD10024,2024-05-11 03:29:00,CUST2017,Sunita Sharma,Female,37.0,Mumbai,Bandra,R007,Sushi Yama,Japanese,4.2,Miso Soup,Starters,5.0,150.0,750.0,Returned,Debit Card,Refunded,Kiran Desai,E-Bike,10.4,59.0,,
ORD10025,2024-11-26 00:07:00,CUST2018,Riya Kapoor,,60.0,Pune,Kharadi,R006,South Spice,South Indian,4.5,Masala Dosa,Breakfast,2.0,90.0,180.0,Returned,Debit Card,Refunded,Ishaan Joshi,Bicycle,1.1,14.0,,
ORD10026,2024-01-20 00:00:00,CUST2019,Divya Joshi,Female,,Pune,Baner,R008,Taco Fiesta,Mexican,3.8,Nachos,Starters,2.0,180.0,360.0,Cancelled,UPI,Refunded,Lakshmi Verma,Bicycle,3.3,28.0,,
ORD10027,2024-11-22 04:05:00,CUST2020,Vikram Reddy,Male,47.0,Pune,Kharadi,R009,The Bakers Oven,Bakery,4.0,Cupcake,Desserts,,80.0,240.0,Delivered,Wallet,Paid,Vikram Das,E-Bike,13.5,77.0,4.0,
ORD10028,2024-06-10 00:00:00,CUST2021,Nikhil Singh,Female,35.0,Delhi,Saket,R012,Noodle Story,Chinese,,Chicken Manchurian,Main Course,2.0,210.0,420.0,Delivered,Debit Card,Paid,Vikram Das,Bike,2.8,23.0,4.0,3.0
ORD10029,2024-10-17 07:21:00,CUST2022,Divya Verma,Female,31.0,Kolkata,Ballygunge,R007,Sushi Yama,Japanese,4.2,Miso Soup,Starters,1.0,150.0,150.0,Delivered,Cash on Delivery,Paid,Nikhil Malhotra,Scooter,5.0,35.0,5.0,5.0
ORD10030,2024-08-17 00:00:00,CUST2023,Suresh Singh,Male,35.0,Delhi,Connaught Place,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,3.0,280.0,840.0,Returned,Cash on Delivery,Refunded,Kiran Desai,Bicycle,14.7,81.0,,
ORD10031,2024-11-20 00:00:00,CUST2024,Sai Chatterjee,Male,26.0,Kolkata,Ballygunge,R003,Dragon Wok,Chinese,4.0,Veg Noodles,Noodles,3.0,160.0,480.0,Delivered,Debit Card,Paid,Kiran Desai,Scooter,,37.0,5.0,4.0
ORD10032,2024-02-19 00:00:00,CUST2001,Ravi Patel,Female,20.0,Pune,Kharadi,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,2.0,280.0,560.0,Returned,UPI,Refunded,Nikhil Malhotra,Bicycle,3.6,19.0,,
ORD10033,2024-12-31 15:08:00,CUST2025,,Male,47.0,Pune,Hinjewadi,R013,Sweet Tooth,Desserts,4.6,Ice Cream Sundae,Desserts,2.0,150.0,300.0,Delivered,Wallet,Paid,Myra Pillai,Scooter,2.3,16.0,5.0,5.0
ORD10034,2024-11-15 08:40:00,CUST2026,Manoj Singh,Male,24.0,Pune,Hinjewadi,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,5.0,210.0,1050.0,Delivered,Wallet,Paid,Aarav Reddy,E-Bike,10.2,48.0,3.0,5.0
ORD10035,2024-04-18 07:47:00,CUST2027,Priya Mukherjee,Female,,Delhi,Dwarka,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,3.0,140.0,420.0,Delivered,Wallet,Paid,Kiran Desai,E-Bike,12.5,66.0,4.0,3.0
ORD10036,2024-04-01 22:36:00,CUST2028,Vikram Joshi,Male,57.0,Pune,,R006,South Spice,South Indian,,Masala Dosa,Breakfast,4.0,90.0,360.0,Delivered,Credit Card,Paid,Ishaan Joshi,Scooter,12.1,64.0,4.0,5.0
ORD10037,2024-09-14 20:33:00,CUST2029,Sai Singh,Male,44.0,Delhi,Karol Bagh,R013,Sweet Tooth,Desserts,4.6,Gulab Jamun,Desserts,,90.0,360.0,Returned,Cash on Delivery,Refunded,Nikhil Malhotra,Bike,5.0,,,
ORD10038,2024-03-25 00:51:00,CUST2030,Sunita Kapoor,Female,40.0,Delhi,Karol Bagh,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,4.0,70.0,280.0,Delivered,,Paid,Reyansh Sharma,Bike,11.0,57.0,4.0,4.0
ORD10039,2024-01-22 00:00:00,CUST2031,Manoj Kapoor,Female,56.0,Mumbai,,R014,Healthy Bites,Salads,4.2,Caesar Salad,Salads,3.0,180.0,540.0,Cancelled,Debit Card,Refunded,Pooja Gupta,Bike,10.9,46.0,,
ORD10040,2024-09-07 23:24:00,CUST2032,Nikhil Bose,Male,24.0,Kolkata,Salt Lake,R010,Kebab Junction,Mughlai,4.3,Seekh Kebab,Starters,4.0,220.0,880.0,Delivered,Cash on Delivery,Paid,Myra Pillai,Bike,4.4,29.0,3.0,5.0
ORD10041,2024-06-23 23:05:00,CUST2004,Rohan Menon,Male,28.0,Chennai,Anna Nagar,R003,Dragon Wok,Chinese,4.0,Spring Rolls,Starters,3.0,140.0,420.0,Delivered,Credit Card,Paid,Vikram Das,E-Bike,9.4,55.0,5.0,5.0
ORD10042,2024-07-06 00:00:00,CUST2033,Manoj Chatterjee,Female,37.0,Chennai,OMR,R001,Biryani Blues,Biryani,4.3,Veg Biryani,Main Course,1.0,180.0,180.0,Cancelled,Credit Card,Failed,Vivaan Singh,Bicycle,4.2,25.0,,
ORD10043,2024-12-18 00:00:00,CUST2034,Riya Verma,Female,,Mumbai,Powai,R012,Noodle Story,Chinese,3.7,Chicken Manchurian,Main Course,1.0,210.0,210.0,Returned,Credit Card,Refunded,Manoj Nair,Bicycle,6.8,42.0,,
ORD10044,2024-07-28 00:00:00,CUST2010,Anika Gupta,Female,60.0,Pune,Kothrud,R001,Biryani Blues,Biryani,4.3,Chicken Biryani,Main Course,3.0,220.0,660.0,Delivered,Wallet,Paid,Kiran Desai,Bike,7.5,39.0,4.0,5.0
ORD10045,2024-11-03 11:36:00,CUST2035,Ravi Verma,Male,45.0,Pune,Hinjewadi,R010,Kebab Junction,Mughlai,4.3,Seekh Kebab,Starters,1.0,220.0,220.0,Delivered,Credit Card,Paid,Sai Iyer,Bike,11.6,54.0,5.0,4.0
ORD10046,2024-11-11 00:00:00,CUST2036,Nikhil Bose,Female,23.0,Delhi,Rohini,R007,Sushi Yama,Japanese,4.2,Chicken Ramen,Main Course,3.0,280.0,840.0,Returned,UPI,Refunded,Ravi Rao,E-Bike,10.7,58.0,,
ORD10047,2024-03-20 01:18:00,CUST2037,Vikram Iyer,Male,38.0,Mumbai,Powai,R002,Pizza Palace,Italian,4.1,Pepperoni Pizza,Pizza,5.0,320.0,1600.0,Delivered,Wallet,Paid,Lakshmi Verma,Bike,3.5,27.0,5.0,3.0
ORD10048,2024-02-15 00:00:00,CUST2009,Riya Chatterjee,Female,53.0,Pune,Hinjewadi,R008,Taco Fiesta,Mexican,3.8,Burrito Bowl,Main Course,4.0,240.0,960.0,Delivered,UPI,Paid,Myra Pillai,Scooter,8.6,45.0,3.0,5.0
ORD10049,2024-01-12 00:00:00,CUST2038,Suresh Kumar,Male,50.0,Pune,Hinjewadi,R007,Sushi Yama,Japanese,4.2,Chicken Ramen,Main Course,4.0,280.0,1120.0,Cancelled,Cash on Delivery,Refunded,Aditya Menon,Bicycle,13.9,76.0,,
ORD10050,2024-10-23 06:29:00,CUST2027,Priya Mukherjee,Female,27.0,Delhi,Rohini,R015,Chaat Corner,Street Food,4.0,Vada Pav,Street Food,3.0,50.0,150.0,Delivered,Debit Card,Paid,,E-Bike,13.1,67.0,4.0,5.0
ORD10051,2024-03-12 18:11:00,CUST2039,Rahul Gupta,Female,33.0,Chennai,Adyar,R004,Punjabi Tadka,North Indian,4.4,Paneer Tikka,Starters,1.0,220.0,220.0,Delivered,Cash on Delivery,Paid,Aditya Menon,Bicycle,7.8,37.0,5.0,4.0
ORD10052,2024-09-26 00:28:00,CUST2029,Sai Singh,Male,44.0,Delhi,Saket,R009,The Bakers Oven,Bakery,4.0,Croissant,Bakery,1.0,90.0,90.0,Returned,Credit Card,Refunded,Aarohi Patel,Bike,7.5,49.0,,
ORD10053,2024-05-03 14:37:00,CUST2040,Amit Malhotra,Male,42.0,Mumbai,Dadar,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,1.0,210.0,210.0,Delivered,UPI,Paid,Pooja Gupta,Bicycle,11.4,55.0,3.0,5.0
ORD10054,2024-08-28 00:00:00,CUST2041,Aditya Das,,21.0,Mumbai,Powai,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,2.0,70.0,140.0,Cancelled,Wallet,Failed,Manoj Nair,Bicycle,3.2,25.0,,
ORD10055,2024-06-26 10:01:00,CUST2042,Manoj Reddy,Female,32.0,Delhi,Rohini,R008,Taco Fiesta,Mexican,3.8,Nachos,Starters,1.0,180.0,180.0,Delivered,,Paid,Vivaan Singh,E-Bike,14.2,85.0,,4.0
ORD10056,2024-10-16 09:30:00,CUST2043,Sneha Bose,Male,24.0,Hyderabad,Kukatpally,R010,Kebab Junction,Mughlai,4.3,Seekh Kebab,Starters,5.0,220.0,1100.0,Delivered,Debit Card,Paid,Aditya Menon,Scooter,0.9,17.0,3.0,5.0
ORD10057,2024-12-19 00:00:00,CUST2044,Myra Desai,Female,40.0,Hyderabad,Madhapur,R010,Kebab Junction,Mughlai,4.3,Seekh Kebab,Starters,2.0,220.0,440.0,Returned,UPI,Refunded,Pooja Gupta,E-Bike,1.3,11.0,,
ORD10058,2024-08-11 07:59:00,CUST2027,Priya Mukherjee,Female,27.0,Delhi,Dwarka,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,5.0,260.0,1300.0,Delivered,Wallet,Paid,Myra Pillai,Scooter,13.8,89.0,4.0,4.0
ORD10059,2024-05-27 23:24:00,CUST2005,Sai Bose,Male,,Kolkata,Park Street,R013,Sweet Tooth,Desserts,4.6,Gulab Jamun,Desserts,4.0,90.0,360.0,Delivered,Debit Card,Paid,Aditya Menon,Bike,4.6,25.0,4.0,5.0
ORD10060,2024-10-07 07:35:00,CUST2045,Reyansh Singh,Female,48.0,Bangalore,Jayanagar,R015,Chaat Corner,Street Food,4.0,Vada Pav,Street Food,3.0,50.0,150.0,Delivered,Credit Card,Paid,Kiran Desai,Scooter,10.0,42.0,3.0,
ORD10061,2024-08-27 00:00:00,CUST2016,Kiran Das,,60.0,Kolkata,Park Street,R007,Sushi Yama,Japanese,4.2,Chicken Ramen,Main Course,3.0,280.0,840.0,Returned,Wallet,Refunded,Manoj Nair,Bicycle,13.4,77.0,,
ORD10062,2024-11-16 02:01:00,CUST2046,Aditya Menon,Female,31.0,Delhi,Connaught Place,R004,Punjabi Tadka,North Indian,4.4,Paneer Tikka,Starters,1.0,220.0,220.0,Returned,Debit Card,Refunded,Krishna Chatterjee,E-Bike,4.7,40.0,,
ORD10063,2024-02-11 00:00:00,CUST2047,Nikhil Desai,Male,19.0,Bangalore,Whitefield,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,5.0,260.0,,Cancelled,UPI,Refunded,Manoj Nair,Bicycle,12.3,61.0,,
ORD10064,2024-08-03 00:00:00,CUST2048,Kavya Reddy,Male,26.0,Chennai,Velachery,R013,Sweet Tooth,Desserts,4.6,Gulab Jamun,Desserts,1.0,90.0,90.0,Returned,UPI,Refunded,Nikhil Malhotra,Scooter,12.0,,,
ORD10065,2024-06-26 21:15:00,CUST2009,Riya Chatterjee,Female,,Pune,Baner,R009,The Bakers Oven,Bakery,4.0,Chocolate Cake,Desserts,1.0,350.0,350.0,Delivered,Cash on Delivery,Paid,Meera Bose,Bike,7.2,39.0,5.0,4.0
ORD10066,2024-05-27 00:00:00,CUST2049,Vihaan Bose,Male,43.0,Delhi,Saket,R008,Taco Fiesta,Mexican,3.8,Burrito Bowl,Main Course,4.0,240.0,960.0,Delivered,UPI,Paid,Suresh Kumar,Bicycle,1.7,18.0,5.0,4.0
ORD10067,2024-03-06 20:26:00,CUST2050,Vikram Kapoor,Female,56.0,Delhi,Saket,R013,Sweet Tooth,Desserts,4.6,Brownie,Desserts,1.0,130.0,130.0,Returned,Wallet,Refunded,Lakshmi Verma,E-Bike,13.4,71.0,,
ORD10068,2024-08-15 00:00:00,CUST2051,Rahul Chatterjee,,38.0,Pune,Hinjewadi,R006,South Spice,South Indian,4.5,Masala Dosa,Breakfast,4.0,90.0,360.0,Delivered,UPI,Paid,Vivaan Singh,E-Bike,2.2,24.0,,3.0
ORD10069,2024-05-15 23:17:00,CUST2052,Krishna Chatterjee,Female,40.0,Kolkata,Ballygunge,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,1.0,210.0,210.0,Delivered,Wallet,Paid,Aarav Reddy,Bike,9.0,46.0,4.0,3.0
ORD10070,2024-03-01 08:54:00,CUST2053,Krishna Patel,Female,54.0,Hyderabad,Kukatpally,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,5.0,210.0,1050.0,Delivered,Wallet,Paid,Suresh Kumar,Scooter,1.2,17.0,4.0,4.0
ORD10071,2024-01-05 00:40:00,CUST2010,Anika Gupta,Female,60.0,Pune,Kharadi,R011,Curry House,North Indian,4.1,Paneer Tikka,Starters,1.0,220.0,220.0,Cancelled,UPI,Refunded,Meera Bose,Bicycle,6.1,,,
ORD10072,2024-02-13 01:34:00,CUST2054,Vihaan Reddy,Male,28.0,Kolkata,Salt Lake,R011,Curry House,North Indian,4.1,Butter Chicken,Main Course,3.0,260.0,780.0,Delivered,Cash on Delivery,Paid,Suresh Kumar,E-Bike,6.7,36.0,4.0,5.0
ORD10073,2024-04-22 00:00:00,CUST2044,Myra Desai,Female,40.0,Hyderabad,Secunderabad,R008,Taco Fiesta,Mexican,3.8,Burrito Bowl,Main Course,3.0,240.0,720.0,Delivered,Credit Card,Paid,Suresh Kumar,Bike,0.9,10.0,4.0,4.0
ORD10074,2024-11-08 14:27:00,CUST2055,Suresh Chatterjee,Male,29.0,Hyderabad,Kukatpally,R009,The Bakers Oven,Bakery,4.0,Cupcake,Desserts,2.0,80.0,160.0,Delivered,,Paid,Vivaan Singh,E-Bike,13.0,51.0,3.0,4.0
ORD10075,2024-06-02 00:00:00,CUST2056,Nikhil Chatterjee,Female,36.0,Bangalore,HSR Layout,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,2.0,280.0,560.0,Delivered,Cash on Delivery,Paid,Vivaan Singh,E-Bike,,61.0,5.0,3.0
ORD10076,2024-10-22 00:00:00,CUST2057,Myra Das,Female,28.0,Bangalore,Jayanagar,R011,Curry House,North Indian,4.1,Butter Chicken,Main Course,5.0,260.0,1300.0,Delivered,Credit Card,Paid,Aarav Reddy,Bicycle,4.2,22.0,5.0,4.0
ORD10077,2024-05-16 16:20:00,CUST2058,Diya Bose,Male,47.0,Kolkata,Ballygunge,R011,Curry House,North Indian,,Dal Makhani,Main Course,5.0,180.0,900.0,Delivered,Debit Card,Paid,Kiran Desai,Bike,7.5,48.0,5.0,3.0
ORD10078,2024-04-05 20:50:00,CUST2059,Vikram Mukherjee,Female,20.0,Bangalore,Whitefield,R014,Healthy Bites,Salads,4.2,Fruit Bowl,Salads,1.0,120.0,120.0,Returned,UPI,Refunded,Kiran Desai,Bike,7.2,48.0,,
ORD10079,2024-05-21 00:00:00,CUST2060,Vihaan Mukherjee,Male,24.0,Kolkata,Howrah,R012,Noodle Story,Chinese,3.7,Veg Noodles,Noodles,5.0,160.0,800.0,Returned,Credit Card,Refunded,Reyansh Sharma,E-Bike,14.9,78.0,,
ORD10080,2024-09-05 11:09:00,CUST2061,Sneha Chatterjee,Female,39.0,Pune,Kharadi,R001,Biryani Blues,Biryani,4.3,Veg Biryani,Main Course,3.0,180.0,540.0,Delivered,Debit Card,Paid,Vikram Das,E-Bike,4.8,35.0,5.0,4.0
ORD10081,2024-11-11 19:25:00,CUST2043,Sneha Bose,Male,24.0,Hyderabad,Madhapur,R015,Chaat Corner,Street Food,4.0,Bhel Puri,Street Food,3.0,70.0,210.0,Returned,Cash on Delivery,Refunded,Suresh Kumar,Bike,5.2,35.0,,
ORD10082,2024-10-24 13:05:00,CUST2045,Reyansh Singh,Female,48.0,Bangalore,Electronic City,R011,Curry House,North Indian,4.1,Dal Makhani,Main Course,1.0,180.0,180.0,Returned,Cash on Delivery,Refunded,Nikhil Malhotra,Scooter,5.2,36.0,,
ORD10083,2024-07-10 01:54:00,CUST2062,Ishaan Reddy,Male,22.0,Mumbai,Andheri,R009,The Bakers Oven,Bakery,4.0,Cupcake,Desserts,5.0,80.0,400.0,Delivered,Debit Card,Paid,Suresh Kumar,E-Bike,3.0,23.0,5.0,4.0
ORD10084,2024-09-08 00:00:00,CUST2063,Priya Singh,Female,46.0,Chennai,Velachery,R013,Sweet Tooth,Desserts,4.6,Brownie,Desserts,4.0,130.0,520.0,Cancelled,Wallet,Refunded,Pooja Gupta,E-Bike,13.6,64.0,,
ORD10085,2024-11-26 13:26:00,CUST2064,Riya Pillai,Female,50.0,Chennai,Adyar,R003,Dragon Wok,Chinese,4.0,Veg Noodles,Noodles,5.0,160.0,800.0,Cancelled,Debit Card,Refunded,Anika Kapoor,Scooter,8.7,45.0,,
ORD10086,2024-06-02 00:00:00,CUST2011,Reyansh Reddy,Female,34.0,Bangalore,Indiranagar,R005,Burger Point,Fast Food,3.9,French Fries,Sides,5.0,90.0,450.0,Cancelled,Cash on Delivery,Refunded,Reyansh Sharma,E-Bike,13.4,80.0,,
ORD10087,2024-06-23 00:00:00,CUST2065,Sneha Iyer,Male,41.0,Hyderabad,Gachibowli,R006,South Spice,South Indian,4.5,Masala Dosa,Breakfast,3.0,90.0,270.0,Cancelled,Credit Card,Refunded,,E-Bike,10.7,52.0,,
ORD10088,2024-01-25 09:24:00,CUST2066,Vivaan Patel,Male,31.0,Kolkata,Park Street,R009,The Bakers Oven,Bakery,4.0,Cupcake,Desserts,5.0,80.0,400.0,Delivered,Cash on Delivery,Paid,,Bicycle,5.1,27.0,5.0,5.0
ORD10089,2024-07-22 07:13:00,CUST2064,Riya Pillai,Female,50.0,Chennai,OMR,R009,The Bakers Oven,Bakery,4.0,Chocolate Cake,Desserts,5.0,350.0,1750.0,Delivered,Credit Card,Paid,Pooja Gupta,E-Bike,0.8,14.0,4.0,3.0
ORD10090,,CUST2067,Lakshmi Malhotra,Male,50.0,Kolkata,Salt Lake,R007,Sushi Yama,Japanese,4.2,Chicken Ramen,Main Course,1.0,280.0,280.0,Returned,Cash on Delivery,Refunded,Sai Iyer,Bike,5.9,28.0,,
ORD10091,2024-04-23 00:00:00,CUST2068,Ishaan Verma,Female,40.0,Chennai,Velachery,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,2.0,210.0,420.0,Returned,Cash on Delivery,Refunded,Myra Pillai,Bicycle,,18.0,,
ORD10092,2024-04-16 02:33:00,CUST2026,Manoj Singh,Male,24.0,Pune,Kothrud,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,5.0,70.0,350.0,Delivered,Wallet,Paid,Sai Iyer,Bike,11.5,53.0,3.0,4.0
ORD10093,2024-01-31 00:00:00,CUST2048,Kavya Reddy,Male,26.0,Chennai,Adyar,R015,Chaat Corner,Street Food,4.0,Bhel Puri,Street Food,4.0,70.0,280.0,Delivered,Debit Card,Paid,Anika Kapoor,E-Bike,6.0,38.0,3.0,
ORD10094,2024-06-17 00:00:00,CUST2069,Gita Kumar,Male,38.0,Bangalore,Koramangala,R006,South Spice,South Indian,4.5,Uttapam,Breakfast,3.0,100.0,300.0,Delivered,Cash on Delivery,Paid,Myra Pillai,E-Bike,5.8,34.0,4.0,
ORD10095,2024-01-04 15:38:00,CUST2008,Vihaan Pillai,Male,39.0,Kolkata,Salt Lake,R011,Curry House,North Indian,4.1,Dal Makhani,Main Course,4.0,180.0,720.0,Delivered,Wallet,Paid,Nikhil Malhotra,Bicycle,12.9,72.0,4.0,3.0
ORD10096,2024-01-11 00:00:00,CUST2070,Priya Pillai,Female,54.0,Bangalore,Jayanagar,R003,Dragon Wok,Chinese,4.0,Spring Rolls,Starters,4.0,140.0,560.0,Delivered,Debit Card,Paid,Vivaan Singh,Bicycle,8.3,47.0,4.0,3.0
ORD10097,2024-12-15 00:17:00,CUST2071,Lakshmi Pillai,Female,53.0,Bangalore,Whitefield,R013,Sweet Tooth,Desserts,4.6,Ice Cream Sundae,Desserts,4.0,150.0,600.0,Cancelled,Wallet,Failed,Anika Kapoor,Bicycle,2.5,22.0,,
ORD10098,2024-02-11 22:48:00,CUST2072,Rahul Menon,Male,22.0,Chennai,OMR,R005,Burger Point,Fast Food,3.9,French Fries,Sides,2.0,90.0,180.0,Returned,Credit Card,Refunded,Meera Bose,Bicycle,2.5,16.0,,
ORD10099,2024-06-23 00:00:00,CUST2073,Sunita Joshi,Female,41.0,Delhi,Karol Bagh,R003,Dragon Wok,Chinese,4.0,Spring Rolls,Starters,1.0,,140.0,Delivered,Debit Card,Paid,Anika Kapoor,E-Bike,11.7,65.0,4.0,3.0
